Date : 2025-08-02 17:59:27
Directory : c:\Users\dell\OneDrive\Documents\vape\site-vape-v2
Total : 135 files,  30395 codes, 838 comments, 1817 blanks, all 33050 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\tsconfig.json                               | JSON with Comments |         21 |          0 |          1 |         22 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\README.md                                  | Markdown           |         58 |          0 |         12 |         70 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\eslint.config.js                           | JavaScript         |         22 |          0 |          2 |         24 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\index.html                                 | HTML               |         16 |          0 |          1 |         17 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\package-lock.json                          | JSON               |      8,929 |          0 |          1 |      8,930 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\package.json                               | JSON               |         40 |          0 |          1 |         41 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\postcss.config.cjs                         | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\postcss.config.js                          | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\public\vite.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\App.css                                | PostCSS            |         37 |          0 |          6 |         43 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\App.tsx                                | TypeScript JSX     |         35 |          3 |          7 |         45 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\assets\react.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\AnimatedBackground.tsx      | TypeScript JSX     |         81 |          9 |         10 |        100 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Cart.tsx                    | TypeScript JSX     |        147 |          0 |          7 |        154 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\ErrorBoundary.tsx           | TypeScript JSX     |         50 |          0 |          5 |         55 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\FavoriteButton.tsx          | TypeScript JSX     |         30 |          0 |          6 |         36 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Footer.tsx                  | TypeScript JSX     |         99 |          6 |          9 |        114 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\LiquidBottle.tsx            | TypeScript JSX     |         43 |          5 |          6 |         54 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\LoadingSpinner.tsx          | TypeScript JSX     |         30 |          3 |          6 |         39 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Navbar.tsx                  | TypeScript JSX     |        280 |         13 |         16 |        309 |
