"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "Properties", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\translation.routes.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 4, 43
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\services\liquidAnalysis.service.ts", "TypeScript", 0, 0, 0, 0, 684, 0, 0, 0, 0, 0, 89, 127, 900
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\README.md", "Markdown", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\eslint.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\package-lock.json", "JSON", 0, 0, 8929, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8930
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\package.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 7, 45
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\AnimatedBackground.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 9, 10, 100
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 7, 154
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\FavoriteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 6, 9, 114
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\LiquidBottle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 6, 54
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 6, 39
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 14, 17, 318
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 10, 103
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\SmokeLoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 26, 21, 159
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\ThemeLanguageToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 4, 6, 63
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\VapeButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 5, 64
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\VapeIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 6, 42
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 8, 15, 112
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\CartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 15, 103
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\FavoritesContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\LanguageContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 985, 0, 0, 0, 0, 58, 69, 1112
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 11, 57
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\data\fruitList.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\data\index.ts", "TypeScript", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 5, 131
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 612, 0, 0, 25, 110, 747
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\layouts\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 4, 9, 172
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\layouts\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Checkout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 4, 24, 221
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Favorites.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 7, 86
